bugID,sd,cl,pd,co,rp,os,bs,rs,pr,bsr,clean_description,processed_text
550019,Go build on Codewind failed with signal killed,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,WORKSFORME,P3,normal,go build on codewind failed with signal killed,go build codewind fail signal kill
550020,quick search preview area too small,Eclipse Project,Platform,Text,PC,Windows 10,RESOLVED,FIXED,P3,trivial,quick search preview area too small,quick search preview area small
550021,Wrong tooltips quicksearch preference page,Eclipse Project,Platform,Text,PC,Windows 10,RESOLVED,FIXED,P3,trivial,wrong tooltips quicksearch preference page,wrong tooltips quicksearch preference page
550022,[GTK] Long delay in deleting all items from a virtual table,Eclipse Project,Platform,SWT,PC,Linux,NEW,,P3,normal,gtk long delay in deleting all items from a virtual table,gtk long delay delete item virtual table
550023,Use setUseHashlookup in internal org.eclipse.e4.ui.dialogs.filteredtree.FilteredTree,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,use setusehashlookup in internal orgeclipsee4uidialogsfilteredtreefilteredtree,use setusehashlookup internal
550024,Update find_strings query to show detailed progress,Tools,MAT,Core,PC,Mac OS X,RESOLVED,FIXED,P3,normal,update findstrings query to show detailed progress,update findstring query show detailed progress
550025,OpenJ9 CI IOException: cannot allocation memory for RandomAccessFile,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,FIXED,P3,normal,openj9 ci ioexception cannot allocation memory for randomaccessfile,ci ioexception allocation memory randomaccessfile
550026,Use e4 FilteredTree in LogView,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,use e4 filteredtree in logview,use filteredtree logview
550027,Use e4 FilteredTree in ShowView dialog,Eclipse Project,Platform,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,use e4 filteredtree in showview dialog,use filteredtree showview dialog
550028,Use e4 FilteredTree in InstalledIUGroup,Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,use e4 filteredtree in installediugroup,use filteredtree installediugroup
550029,multiple layout issues in launch configuration dialog,Eclipse Project,Platform,Debug,PC,Windows 10,CLOSED,WONTFIX,P3,minor,multiple layout issues in launch configuration dialog,multiple layout issue launch configuration dialog
550030,Release e4 FilteredTree as API,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,release e4 filteredtree as api,release filteredtree api
550031,[Quicksearch] superfluous slash in path,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,trivial,quicksearch superfluous slash in path,quicksearch superfluous slash path
550032,[test][12] disagreements vs. javac at 12,Eclipse Project,JDT,Core,PC,Linux,NEW,,P3,normal,test12 disagreements vs javac at 12,disagreement vs javac
550033,Redirect to relative path is blocked,Technology,JGit,JGit,PC,Mac OS X,RESOLVED,FIXED,P3,normal,redirect to relative path is blocked,redirect relative path block
550034,Use project scheduling rule for PluginModelManager job,Eclipse Project,PDE,UI,PC,Linux,NEW,,P3,normal,use project scheduling rule for pluginmodelmanager job,use project scheduling rule pluginmodelmanager job
550035,Remove unnecessary activator WebBrowserTestsPlugin,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,remove unnecessary activator webbrowsertestsplugin,remove unnecessary activator webbrowsertestsplugin
550036,Update application model code (EMF) with the fixes for Bug 548575 and Bug 546714,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,update application model code emf with the fixes for bug 548575 and bug 546714,update application model code emf fix bug bug
550037,Use StringBuilder instead of StringBuffer in eclipse.platform.ua,Eclipse Project,Platform,User Assistance,PC,Linux,RESOLVED,FIXED,P3,normal,use stringbuilder instead of stringbuffer in eclipseplatformua,use stringbuilder instead stringbuffer eclipseplatformua
550038,Investigate if forced activation in InternalPlatform#start is still necessary,Eclipse Project,Platform,Runtime,PC,All,RESOLVED,FIXED,P3,normal,investigate if forced activation in internalplatformstart is still necessary,investigate force activation internalplatformstart still necessary
550039,Y build showing comparator error in platform.ua for jsp files,Eclipse Project,Platform,Releng,All,All,RESOLVED,WONTFIX,P3,normal,y build showing comparator error in platformua for jsp files,build show comparator error platformua jsp file
550040,Eclipse Genie fails to create CQ repeatedly,Eclipse Foundation,Community,Gerrit,PC,Windows 10,RESOLVED,FIXED,P3,major,eclipse genie fails to create cq repeatedly,eclipse genie fails create cq repeatedly
550041,Cannot set a decorator to change the width of connections,Modeling,Graphiti,Core,All,All,ASSIGNED,,P3,enhancement,cannot set a decorator to change the width of connections,set decorator change width connection
550042,[Quicksearch] Ignored file extensions must be checked case insensitive,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,minor,quicksearch ignored file extensions must be checked case insensitive,quicksearch ignore file extension must check case insensitive
550043,Release preparations for v0.7.0,Technology,Ease,General,All,All,CLOSED,FIXED,P3,normal,release preparations for v070,release preparation
550044,2 compile warnings in official build,Eclipse Project,JDT,UI,All,All,VERIFIED,FIXED,P3,normal,2 compile warnings in official build,compile warning official build
550045,[C++ CodeGen] Should enable to call a method via reference in the entry behavior of a the starting state of state machine,Modeling,Papyrus,Designer,PC,Windows 10,ASSIGNED,,P3,normal,c codegen should enable to call a method via reference in the entry behavior of a the starting state of state machine,c codegen enable call method via reference entry behavior start state state machine
550046,Remove copied TextUtils again,Modeling,ECP,EMF Forms,All,All,NEW,,P3,minor,remove copied textutils again,remove copied textutil
550047,EASE JIPP does not trigger on gerrit commits,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,normal,ease jipp does not trigger on gerrit commits,ease jipp trigger gerrit commit
550048,"Remove ""Are you sure you want to "" from text",Eclipse Project,Platform,Debug,PC,Linux,RESOLVED,WONTFIX,P3,normal,remove are you sure you want to from text,remove sure want text
550049,"Remove ""Are you sure you want to "" from text",Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,remove are you sure you want to from text,remove sure want text
550050,All coonections are black in the editor that is open at start,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,all coonections are black in the editor that is open at start,coonection black editor open start
550051,Engine termination should be improved,Technology,Ease,Engines,All,All,CLOSED,FIXED,P3,normal,engine termination should be improved,engine termination improve
550052,"Remove ""Are you sure you want to "" from text",Eclipse Project,Equinox,p2,PC,Linux,RESOLVED,FIXED,P3,normal,remove are you sure you want to from text,remove sure want text
550053,http://www.eclipse.org/QVT/1.0.0/Operational is not properly registered.,Modeling,QVTo,Engine,PC,Windows 10,RESOLVED,FIXED,P3,normal,httpwwweclipseorgqvt100operational is not properly registered,properly register
550054,Update PDE templates to not use deprecated AbstractUIPlugin#imageDescriptorFromPlugin,Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,update pde templates to not use deprecated abstractuipluginimagedescriptorfromplugin,update pde template use deprecate abstractuipluginimagedescriptorfromplugin
550055,Import existing projects wizard does not close project imported from archive,Eclipse Project,Platform,UI,PC,Linux,CLOSED,DUPLICATE,P3,normal,import existing projects wizard does not close project imported from archive,import exist project wizard close project import archive
550056,[Quicksearch] Missing menu item for Quick Text Search,Eclipse Project,Platform,UI,All,All,RESOLVED,WORKSFORME,P3,normal,quicksearch missing menu item for quick text search,quicksearch miss menu item quick text search
550057,[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,normal,quicksearch the quick text search dialog and menu item are missing mnemonics,quicksearch quick text search dialog menu item miss mnemonic
550058,[Quicksearch] Name mismatch in UI and N&N,Eclipse Project,Platform,UI,All,All,RESOLVED,FIXED,P3,normal,quicksearch name mismatch in ui and nn,quicksearch name mismatch ui nn
550059,[styled text] Typing ~~ in combination with ²&~# inserts é~~,Eclipse Project,Platform,SWT,PC,Windows All,VERIFIED,FIXED,P3,normal,styled text typing in combination with inserts,style text type combination insert
550060,Run the new Use Autoboxing - Use Unboxing cleanup on eclipse.platform.ui,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,WORKSFORME,P3,normal,run the new use autoboxing use unboxing cleanup on eclipseplatformui,run new use autoboxing use unbox cleanup eclipseplatformui
550061,Change Title bar of systemconfiguration editor to better indicate that it is the system configuration,IoT,4DIAC,4DIAC-IDE,PC,Linux,CLOSED,FIXED,P3,normal,change title bar of systemconfiguration editor to better indicate that it is the system configuration,change title bar systemconfiguration editor well indicate system configuration
550062,Use ArrayDeque rather than Stack,Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,use arraydeque rather than stack,use arraydeque rather stack
550063,ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException,Eclipse Project,JDT,Core,PC,All,RESOLVED,FIXED,P3,normal,classfileaddfieldinfos throws arrayindexoutofboundsexception,classfileaddfieldinfos throw arrayindexoutofboundsexception
550064,Creating new Application in default System(Project),IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,creating new application in default systemproject,create new application default systemproject
550065,Please include setup for project Eclipse Capra,Tools,Oomph,Setup,PC,Mac OS X,RESOLVED,FIXED,P3,enhancement,please include setup for project eclipse capra,please include setup project eclipse capra
550066,Tracking bug for inclusion of Eclipse Capra in Oomph project catalogue,Modeling,Capra,Releng,PC,Mac OS X,RESOLVED,FIXED,P3,normal,tracking bug for inclusion of eclipse capra in oomph project catalogue,track bug inclusion eclipse capra oomph project catalogue
550067,ArrayIndexOutOfBoundsException in Java Search,Eclipse Project,JDT,Core,PC,Mac OS X,NEW,,P3,normal,arrayindexoutofboundsexception in java search,arrayindexoutofboundsexception java search
550068,empty action is not visible in the property sheet,IoT,4DIAC,4DIAC-IDE,PC,Windows 10,CLOSED,FIXED,P3,normal,empty action is not visible in the property sheet,empty action visible property sheet
550069,OpenJ9: 2 zlinux nodes offline,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,NOT_ECLIPSE,P3,normal,openj9 2 zlinux nodes offline,zlinux node offline
550070,Use StringBuilder instead of StringBuffer,Eclipse Project,Equinox,Framework,PC,Linux,RESOLVED,FIXED,P3,normal,use stringbuilder instead of stringbuffer,use stringbuilder instead stringbuffer
550071,Generating autocomplete from XSD crashes Eclipse,WebTools,WTP Source Editing,wst.xsd,PC,Windows 10,NEW,,P3,major,generating autocomplete from xsd crashes eclipse,generate autocomplete xsd crash eclipse
550072,EModelService#cloneElement does also clone transient data and widget ref,Eclipse Project,Platform,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,emodelservicecloneelement does also clone transient data and widget ref,emodelservicecloneelement also clone transient datum widget ref
550073,Diagram validation does not validate all visible elements,Modeling,Sirius,Diagram,PC,Windows 10,NEW,,P3,normal,diagram validation does not validate all visible elements,diagram validation validate visible element
550074,Request for commit rights to SimRel repo,Eclipse Foundation,Community,Cross-Project,PC,All,CLOSED,FIXED,P3,normal,request for commit rights to simrel repo,request commit right simrel repo
550075,OpenJ9: Git doesn't work on windows nodes after migration,Eclipse Foundation,Community,CI-Jenkins,PC,Linux,CLOSED,FIXED,P3,major,openj9 git doesnt work on windows nodes after migration,git do not work window node migration
550076,PEParser doesn't parse 64 bit executables correctly,Tools,CDT,cdt-core,PC,Windows 10,RESOLVED,FIXED,P3,normal,peparser doesnt parse 64 bit executables correctly,peparser do not parse bit executable correctly
550077,[13] 2 JDT UI tests failing in the Y-Build Y20190812-0900,Eclipse Project,JDT,UI,PC,All,RESOLVED,FIXED,P3,normal,13 2 jdt ui tests failing in the ybuild y201908120900,jdt ui test fail ybuild
550078,"a ""search for dependency and add to target-platform"" quickfix",Eclipse Project,PDE,UI,All,All,NEW,,P3,enhancement,a search for dependency and add to targetplatform quickfix,search dependency add targetplatform quickfix
550079,[release] ee4j.cdi 2.0.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release ee4jcdi 200,release
550080,"The ""ฏู"" character is truncated vertically in a Label on Mac OS",Eclipse Project,Platform,SWT,Macintosh,Mac OS X,CLOSED,WONTFIX,P3,minor,the character is truncated vertically in a label on mac os,character truncate vertically label mac os
550081,[impl] JavaCore.getAllVersions() should return an immutable list (or a copy),Eclipse Project,JDT,Core,PC,Linux,VERIFIED,FIXED,P3,normal,impl javacoregetallversions should return an immutable list or a copy,impl javacoregetallversion return immutable list copy
550082,The check for Git-based projects seems to be too generic,Technology,EGit,UI,All,All,RESOLVED,FIXED,P3,normal,the check for gitbased projects seems to be too generic,check gitbased project seem generic
550083,[formatter] UI changes related to blank lines settings,Eclipse Project,JDT,UI,All,All,RESOLVED,FIXED,P3,normal,formatter ui changes related to blank lines settings,formatter ui change relate blank line setting
550084,"'unresolved inclusion ""Arduino.h""' problem might be due to incorrect source files?",Tools,CDT,cdt-arduino,PC,Windows 10,CLOSED,WONTFIX,P3,blocker,unresolved inclusion arduinoh problem might be due to incorrect source files,unresolved inclusion arduinoh problem might due incorrect source file
550085,Integrate features from the generic editor,WebTools,JSDT,General,All,All,RESOLVED,FIXED,P3,normal,integrate features from the generic editor,integrate feature generic editor
550086,two breakpoint at single line when debug executable file compiled by gcc8.1,Tools,TCF,Agent,PC,Linux,RESOLVED,FIXED,P3,normal,two breakpoint at single line when debug executable file compiled by gcc81,two breakpoint single line debug executable file compile
550087,UI freezes when opening/modifying/closing any Servlet or ServletContextListener,Eclipse Project,JDT,UI,PC,Windows 10,NEW,,P3,normal,ui freezes when openingmodifyingclosing any servlet or servletcontextlistener,ui freeze openingmodifyingclose servlet servletcontextlistener
550088,Provide access ci access to Jakarta EE Specification Committee,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,FIXED,P3,normal,provide access ci access to jakarta ee specification committee,provide access ci access jakarta ee specification committee
550089,ssh access hangs with no error on https://ci.eclipse.org/jakartaee-spec-committee/job/promote-release,Eclipse Foundation,Community,CI-Jenkins,PC,Mac OS X,CLOSED,FIXED,P3,normal,ssh access hangs with no error on httpscieclipseorgjakartaeespeccommitteejobpromoterelease,ssh access hang error httpscieclipseorgjakartaeespeccommitteejobpromoterelease
550090,URISyntaxException if AUT Location contains Spaces,Technology,RCPTT,IDE,PC,Windows 10,RESOLVED,FIXED,P3,normal,urisyntaxexception if aut location contains spaces,urisyntaxexception aut location contain space
550091,Eclipse ignores -vm setting in eclipse.ini if restarted.,Eclipse Project,Platform,Runtime,PC,Linux,REOPENED,,P3,normal,eclipse ignores vm setting in eclipseini if restarted,eclipse ignore vm set eclipseini restart
550092,org.eclipse.jdt.compiler.apt.tests needs version increase,Eclipse Project,JDT,APT,All,All,VERIFIED,FIXED,P3,normal,orgeclipsejdtcompilerapttests needs version increase,orgeclipsejdtcompilerapttest need version increase
550093,[Dark Theme] Sash is bright in forms,Eclipse Project,Platform,UI,PC,Windows 10,RESOLVED,FIXED,P3,normal,dark theme sash is bright in forms,dark theme sash bright form
550094,Update platform to Jetty 9.4.20,Eclipse Project,Platform,Releng,All,All,RESOLVED,FIXED,P3,normal,update platform to jetty 9420,update platform jetty
550095,Add constructor to FilteredItemsSelectionDialog to activate useHashCode and deprecate the others,Eclipse Project,Platform,UI,PC,Linux,NEW,,P3,normal,add constructor to filtereditemsselectiondialog to activate usehashcode and deprecate the others,add constructor filtereditemsselectiondialog activate usehashcode deprecate other
550096,C/C++ formatter eats whitespace if function declaration includes macro resulting in joined method+macro name,Tools,CDT,cdt-editor,PC,Linux,VERIFIED,FIXED,P3,normal,cc formatter eats whitespace if function declaration includes macro resulting in joined methodmacro name,cc formatter eat whitespace function declaration include macro result joined methodmacro name
550097,[release] technology.passage 0.6.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release technologypassage 060,release technologypassage
550098,[release] technology.reddeer 2.7.0,Eclipse Foundation,Community,Proposals and Reviews,All,All,RESOLVED,FIXED,P3,normal,release technologyreddeer 270,release technologyreddeer
550099,Closing the tree in Project Explorer should scroll to the correct top level element (Project),Eclipse Project,Platform,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,closing the tree in project explorer should scroll to the correct top level element project,closing tree project explorer scroll correct top level element project
550100,program outline disappears when debugging,Eclipse Project,Platform,Debug,PC,Windows 10,RESOLVED,NOT_ECLIPSE,P3,normal,program outline disappears when debugging,program outline disappear debug
550101,[Quicksearch] Strings not externalized,Eclipse Project,Platform,Text,All,All,RESOLVED,FIXED,P3,major,quicksearch strings not externalized,quicksearch string externalize
550102,Remove outdated target milestones for Eclipse top level project,Eclipse Project,Platform,IDE,PC,Linux,RESOLVED,WONTFIX,P3,normal,remove outdated target milestones for eclipse top level project,remove outdated target milestone eclipse top level project
550103,Offer a way to add language servers via a preference page,Technology,lsp4e,General,PC,Linux,CLOSED,WORKSFORME,P3,normal,offer a way to add language servers via a preference page,offer way add language server via preference page
550104,Text Selection in not editable CDateTime Widget should be as simple text selection,Eclipse Foundation,z_Archived,Nebula,PC,Windows 10,RESOLVED,FIXED,P3,normal,text selection in not editable cdatetime widget should be as simple text selection,text selection editable cdatetime widget simple text selection
550105,[13][quick fix] Text Block: No Quick fix to enable preview feature when using text block,Eclipse Project,JDT,UI,All,All,RESOLVED,WORKSFORME,P3,major,13quick fix text block no quick fix to enable preview feature when using text block,fix text block quick fix enable preview feature use text block
550106,Align Resource perspective with Java (and other) perspectives,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,WONTFIX,P3,normal,align resource perspective with java and other perspectives,align resource perspective java perspective
550107,"[13] Text Block: Return after """""" should align below """"""",Eclipse Project,JDT,Text,All,All,RESOLVED,FIXED,P3,normal,13 text block return after should align below,text block return align
550108,"[13] Text Block: Return after """""" place caret on next line not after """""";",Eclipse Project,JDT,Text,All,All,RESOLVED,FIXED,P3,normal,13 text block return after place caret on next line not after,text block return place caret next line
550109,"[13] Text Block: Closing """"""; should not be added if auto-close String preference is off",Eclipse Project,JDT,Text,All,All,RESOLVED,FIXED,P3,normal,13 text block closing should not be added if autoclose string preference is off,text block closing add autoclose string preference
550110,Please reset (clear) the new repository org.eclipse.app4mc.addon.migration,Eclipse Foundation,Community,Git,All,All,CLOSED,FIXED,P3,normal,please reset clear the new repository orgeclipseapp4mcaddonmigration,please reset clear new repository
550111,junit tests are failed on Windows,Technology,JGit,JGit,PC,Windows 10,NEW,,P3,normal,junit tests are failed on windows,junit test fail window
550112,Oomph configurator should offer Dark Theme,Tools,Oomph,Setup,PC,Linux,NEW,,P3,enhancement,oomph configurator should offer dark theme,oomph configurator offer dark theme
550113,[13] Text Block: Cumbersome to enter a text block into the editor,Eclipse Project,JDT,Text,All,All,VERIFIED,FIXED,P3,normal,13 text block cumbersome to enter a text block into the editor,text block cumbersome enter text block editor
550115,JGit doesn't work if SecurityManager is enabled,Technology,JGit,JGit,All,Windows 10,RESOLVED,FIXED,P3,normal,jgit doesnt work if securitymanager is enabled,jgit do not work securitymanager enable
550116,Codewind PR allow merge without a review approval as a prereq,Eclipse Foundation,Community,GitHub,All,All,CLOSED,FIXED,P3,normal,codewind pr allow merge without a review approval as a prereq,codewind pr allow merge without review approval prereq
550117,"""JRE missing"" installation page links to JDK downloads on some of its ""Oracle JRE"" links",Tools,Oomph,Version Management,PC,Windows NT,VERIFIED,FIXED,P3,major,jre missing installation page links to jdk downloads on some of its oracle jre links,jre miss installation page link jdk downloads oracle jre link
550118,Developer Mailing list for Proj4J project,Eclipse Foundation,Community,MailingLists,PC,Mac OS X,RESOLVED,FIXED,P3,normal,developer mailing list for proj4j project,developer mailing list project
550119,"""JRE missing"" installation page touts Eclipse IDE 2019-03 as latest",Eclipse Foundation,Community,Website,PC,Windows NT,REOPENED,,P3,minor,jre missing installation page touts eclipse ide 201903 as latest,jre miss installation page tout eclipse ide late
550120,UI freeze in PreferenceDialog / FilteredPreferenceDialog,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,ui freeze in preferencedialog filteredpreferencedialog,ui freeze preferencedialog filteredpreferencedialog
550122,"Eclipse for PHP Developers creates shortcut named ""Eclipse Php Latest Released""",Tools,Oomph,Setup,PC,Windows NT,RESOLVED,FIXED,P3,major,eclipse for php developers creates shortcut named eclipse php latest released,eclipse php developer create shortcut name eclipse php latest release
550123,Deferred context updates not working properly due to unordered handling,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,deferred context updates not working properly due to unordered handling,defer context update work properly due unordered handling
550124,https://repo.locationtech.org/ is unavailable,Eclipse Foundation,Community,Nexus,PC,Linux,RESOLVED,FIXED,P3,normal,httpsrepolocationtechorg is unavailable,httpsrepolocationtechorg unavailable
550125,Eclipse is constantly freezing,Eclipse Project,Platform,UI,PC,Windows 10,CLOSED,DUPLICATE,P3,major,eclipse is constantly freezing,eclipse constantly freeze
550126,Update FilteredTree usage to use setUseHashlookup,Eclipse Project,PDE,UI,PC,Linux,RESOLVED,WORKSFORME,P3,normal,update filteredtree usage to use setusehashlookup,update filteredtree usage use setusehashlookup
550127,Update Show View tree usage to use setUseHashlookup,Eclipse Project,Platform,UI,PC,Linux,RESOLVED,FIXED,P3,normal,update show view tree usage to use setusehashlookup,update show view tree usage use setusehashlookup
550128,[terminate] modeling.pmf,Eclipse Foundation,Community,Proposals and Reviews,PC,Linux,RESOLVED,FIXED,P3,normal,terminate modelingpmf,terminate modelingpmf
550129,[cleanup] Remove redundant array creation,Eclipse Project,JDT,UI,PC,Linux,VERIFIED,FIXED,P3,normal,cleanup remove redundant array creation,cleanup remove redundant array creation
550131,"Community product description calls bugs.eclipse.org ""Bugzilla""",Eclipse Foundation,Community,Bugzilla,PC,Linux,CLOSED,FIXED,P3,normal,community product description calls bugseclipseorg bugzilla,community product description call bugseclipseorg bugzilla
550133,"""Community"" product's name is misleading",Eclipse Foundation,Community,Bugzilla,All,All,NEW,,P3,normal,community products name is misleading,community product name misleading
550134,I-Build (I20190815) failed as SWT build step didn't complete,Eclipse Project,Platform,Releng,PC,Mac OS X,RESOLVED,FIXED,P3,normal,ibuild i20190815 failed as swt build step didnt complete,ibuild fail swt build step do not complete
550135,Provide service to notarise Mac app,Technology,CBI,signing,PC,Mac OS X,CLOSED,FIXED,P3,normal,provide service to notarise mac app,provide service notarise mac app
550136,Improve startup time (performance ) of the Eclipse SDK 4.14,Eclipse Project,Platform,IDE,PC,All,RESOLVED,FIXED,P3,normal,improve startup time performance of the eclipse sdk 414,improve startup time performance eclipse sdk
550137,[13] Merge issues with BETA branch: Impact of PreviewEnabled check in DOM on JDT UI,Eclipse Project,JDT,UI,All,All,RESOLVED,FIXED,P3,normal,13 merge issues with beta branch impact of previewenabled check in dom on jdt ui,merge issue beta branch impact previewenable check dom jdt ui
550138,code recommenders cannot download model repository index,Eclipse Project,Platform,IDE,PC,Windows 10,CLOSED,WONTFIX,P3,normal,code recommenders cannot download model repository index,code recommender download model repository index
550139,PDE validation dialog should also be centered,Eclipse Project,PDE,UI,PC,Linux,VERIFIED,FIXED,P3,normal,pde validation dialog should also be centered,pde validation dialog also center
550140,Eclipse release notes are hard to find,Eclipse Project,Platform,Releng,PC,Windows 10,NEW,,P3,normal,eclipse release notes are hard to find,eclipse release note hard find
550141,[room] improve implementation of scoping (avoid dispatching by name),Modeling,eTrice,Core,PC,Windows 10,RESOLVED,FIXED,P3,enhancement,room improve implementation of scoping avoid dispatching by name,room improve implementation scoping avoid dispatch name
550142,very high Ram consumption on Mac os,Eclipse Project,Platform,SWT,PC,Mac OS X,CLOSED,DUPLICATE,P3,normal,very high ram consumption on mac os,high ram consumption mac os
550143,ChemClipse switch to default branch: develop,Eclipse Foundation,Community,GitHub,PC,Linux,CLOSED,FIXED,P3,normal,chemclipse switch to default branch develop,chemclipse switch default branch develop
550144,Resource already exists on disk error in the log,Technology,EGit,Core,PC,Linux,NEW,,P3,normal,resource already exists on disk error in the log,resource already exist disk error log
550145,Add Smart import wizard to quicklinks in project explorer,Eclipse Project,Platform,UI,PC,Linux,CLOSED,WONTFIX,P3,normal,add smart import wizard to quicklinks in project explorer,add smart import wizard quicklink project explorer
550146,UI freeze during compare,Eclipse Project,Platform,Compare,PC,Linux,CLOSED,DUPLICATE,P3,normal,ui freeze during compare,ui freeze compare
